Year,TeamA,TeamB,ORebDiff,DRebDiff,AsstDiff,PFDiff,STLDiff,TODiff,BlkDiff,PtDiff,FGPDiff,X3PPDiff,FTPDiff,WL
2001,BOS,PHI,-2.451219512,0.43902439,1.024390244,1.573170732,1.073170732,-1.146341463,-0.853658537,5.365853659,-0.011963145,0.059897656,-0.014706681,W
2001,DET,TOR,-3.707317073,0.365853659,-0.170731707,-0.926829268,-0.487804878,0.317073171,1.353658537,2.975609756,0.017751341,0.027195911,0.017317344,W
2001,SAC,UTA,-1.170731707,4.304878049,-0.5,-5.012195122,-0.097560976,-2.37804878,-1.804878049,8.62195122,0.01640453,0.034699812,-0.011390809,W
2001,DAL,MIN,-1.719512195,0.073170732,-2.219512195,1.243902439,0.695121951,-1.353658537,-0.5,5.902439024,0.000746958,-0.000715897,0.008813785,W
2001,LAL,POR,-0.768292683,1.987804878,-0.536585366,2.56097561,-0.93902439,-1.487804878,1.341463415,4.62195122,0.010286354,0.000846778,-0.064498573,W
2001,SAS,SEA,-0.743902439,2.841463415,-3.451219512,-1.914634146,-0.890243902,0.585365854,2.109756098,-1,-0.010839496,-0.016798414,-0.013719814,W
2001,NJN,CHA,-0.243902439,0.12195122,2.817073171,-0.158536585,0.768292683,0.743902439,0.414634146,2.304878049,0.006637163,-0.010567593,-0.009706955,W
2001,BOS,DET,0.987804878,2.487804878,-0.524390244,0.975609756,1.768292683,-0.646341463,-3.317073171,1.987804878,-0.02796315,-0.016960585,0.00788858,W
2001,SAC,DAL,1.158536585,1.634146341,1.792682927,-3.426829268,1.951219512,1.670731707,-0.134146341,-0.62195122,0.004753889,-0.010266219,-0.055258626,W
2001,LAL,SAS,1.402439024,0.5,2.914634146,3.024390244,0,-1.682926829,-0.719512195,4.536585366,0.002790731,-0.007271772,-0.042879051,W
2001,NJN,BOS,1.804878049,-0.670731707,3.268292683,-0.5,-0.93902439,1.06097561,2.402439024,-0.146341463,0.02259163,-0.021677418,-0.029099558,W
2001,SAC,LAL,-0.109756098,1.158536585,0.926829268,-3.207317073,1.414634146,1.219512195,-1.256097561,3.341463415,0.005920697,0.012828593,0.052376721,L
2001,NJN,LAL,0.207317073,-1.12195122,1.317073171,-1.085365854,1.109756098,2.12195122,0.146341463,-5.06097561,-0.014290837,-0.016891849,0.036402246,L
2002,DET,ORL,-0.914634146,0.646341463,-0.682926829,-1.707317073,-1.707317073,-1.158536585,2.048780488,-7.146341463,-0.005611576,0.00096622,-0.00589648,W
2002,PHI,NOH,-0.670731707,-0.731707317,-0.43902439,0.451219512,2.292682927,0.073170732,-1.341463415,2.975609756,0.012791982,-0.064505186,0.00710347,W
2002,IND,BOS,1.890243902,1.841463415,4.085365854,0.646341463,-0.292682927,0.548780488,1.707317073,4.158536585,0.025716372,0.005052572,0.023515284,L
2002,NJN,MIL,1.402439024,1.963414634,0.780487805,-0.573170732,1.158536585,2.292682927,0.365853659,-4.12195122,-0.015215741,-0.050982458,-0.018858092,W
2002,SAS,PHO,-1.341463415,1.414634146,-1.012195122,-1.573170732,-0.43902439,1.158536585,1.524390244,0.268292683,0.018330232,0.010636432,-0.016541719,W
2002,MIN,LAL,-1.451219512,0.731707317,1.963414634,-2.073170732,-1.048780488,-0.743902439,-0.451219512,-2.243902439,0.015008042,0.012636161,0.036311264,L
2002,DAL,POR,-0.975609756,2.024390244,-0.280487805,1.170731707,-0.731707317,-3.402439024,1.62195122,7.817073171,-0.007440022,0.051729747,0.084043093,W
2002,SAC,UTA,-1.475609756,4.512195122,-0.841463415,-2.085365854,0.329268293,-1.62195122,-0.12195122,7.073170732,-0.003798377,0.031757202,0.001181168,W
2002,DET,PHI,-1.93902439,0.365853659,-1.841463415,-0.682926829,-3.512195122,-1.390243902,2.243902439,-5.5,-0.017900381,0.046890157,-0.003766,W
2002,BOS,NJN,-1.731707317,-0.695121951,-3.804878049,-0.170731707,0.036585366,-0.963414634,-0.865853659,-2.695121951,-0.026495736,0.001269973,-0.014948719,L
2002,SAS,LAL,-1.695121951,0.024390244,-3.329268293,-2.463414634,-0.12195122,1.317073171,0.719512195,-4.56097561,0.010961235,-0.001979736,-0.008518257,W
2002,DAL,SAC,0.146341463,-2.524390244,-2.402439024,0.780487805,-0.853658537,-3.231707317,-0.097560976,1.243902439,-0.01106983,8.38E-05,0.082599544,W
2002,DET,NJN,-1.317073171,-1.012195122,-3.256097561,-0.292682927,-1.963414634,-1.719512195,1.146341463,-4,-0.011164211,0.025826206,0.014224898,L
2002,SAS,DAL,0.329268293,0.146341463,-2.451219512,-0.707317073,-0.43902439,4.317073171,0.975609756,-7.170731707,0.009071604,-0.027751657,-0.103619057,W
2002,NJN,SAS,0.634146341,-0.341463415,3.06097561,1.219512195,1.073170732,-0.926829268,-1.890243902,-0.43902439,-0.020501211,-0.021170589,0.032015873,L
2003,IND,BOS,1.390243902,0.146341463,1.109756098,-1.56097561,-0.536585366,-2.207317073,0.975609756,-3.87804878,-0.007716586,0.004666265,0.013296424,W
