"Year","TeamA","TeamB","O_ORebDiff","O_DRebDiff","O_AsstDiff","O_PFDiff","O_STLDiff","O_TODiff","O_BlkDiff","O_x3PMDiff","O_PtDiff","O_FGPDiff","O_FTPDiff","D_ORebDiff","D_DRebDiff","D_AsstDiff","D_PFDiff","D_STLDiff","D_TODiff","D_BlkDiff","D_x3PMDiff","D_PtDiff","D_FGPDiff","D_FTPDiff","WL"
1979,"PHO","KCK",-1.4146341463415,0.353658536585399,1.9512195121951,-3.4390243902439,0.548780487804899,2.3170731707317,-0.14634146341464,0.524390243902439,3.09756097560999,0.015133183587483,0.030244931062449,0.9268292682927,-2.4024390243903,3.0243902439024,-0.256097560975597,2.28048780487804,-1.2073170731708,-0.4390243902439,0.71951219512195,216,0.000364358349955018,-0.011546276485062,"W"
1979,"SEA","POR",1.0365853658536,1.7317073170732,1.7682926829269,-1.109756097561,0.51219512195121,-0.6829268292683,-0.536585365853661,0.402439024390244,6.03658536585399,-0.005717657793196,0.025007925940016,0.792682926829301,0.621951219512198,0.0975609756097029,1.4268292682927,-0.341463414634141,0.841463414634099,-0.0243902439024399,0.048780487804878,46,-0.018830695953393,0.0115549219193329,"W"
1979,"HOU","SAS",2.9390243902439,-3.6341463414634,-2.1585365853659,-2.1463414634146,0.134146341463421,-0.292682926829297,0.48780487804878,0.634146341463415,-8.585365853659,-0.018197247199023,-0.034510813370049,0.5121951219512,-1.890243902439,-3.8292682926829,-1.7439024390244,-0.609756097561021,1.0243902439025,-0.35365853658537,-0.365853658536588,-749,-0.00465790358190094,0.0295251621518859,"W"
1979,"PHI","WA1",-1.7926829268292,-1.0731707317073,0.304878048780502,-0.402439024390201,3.19512195121951,4,2.54878048780488,-0.560975609756097,2.14634146341399,0.033873916221961,0.013886389345948,1.4756097560975,-3.9024390243902,-0.378048780487799,2.4268292682927,1.73170731707318,4.1341463414635,-1.59756097560976,0.23170731707317,-379,-0.00969579024330103,-0.011988011988012,"W"
1979,"LAL","PHO",0.170731707317099,2.3780487804878,1.5853658536586,-0.841463414634198,-1.6341463414634,0.121951219512198,2.46341463414634,-0.585365853658537,3.951219512195,0.03560982436236,0.00242301030147696,1.1707317073171,-2.5,3.6341463414634,-2.3292682926829,-1.03658536585365,-2.9634146341463,-0.0853658536585398,-0.268292682926828,135,-0.00632048632653903,0.00725365187480798,"W"
1979,"MIL","SEA",-1.6463414634146,-1.8780487804878,2.8536585365853,0.878048780487802,0.341463414634148,0,1,-0.109756097560975,1.560975609756,0.018090499312678,-0.00430655309782502,1.9146341463414,-1.4146341463415,1.6829268292683,-1.0365853658537,-0.134146341463419,1.4512195121952,-0.42682926829268,0.207317073170732,187,0.00254838271394603,-0.010449950608312,"L"
1979,"BOS","HOU",-2.0365853658537,2.9268292682926,0.597560975609799,0.5731707317073,0.329268292682919,-0.317073170731703,-0.79268292682927,0.70731707317073,2.67073170731699,0.00952123701116797,0.012563079601164,-1.4878048780488,-0.280487804878,-4.3414634146342,0.121951219512201,-1.1219512195122,0.4634146341463,-0.10975609756097,0.195121951219512,-406,-0.02527122288989,-0.017260992239494,"W"
1979,"ATL","PHI",2.2195121951219,-2.7926829268293,-3.8170731707317,5.280487804878,-0.121951219512189,-2.5975609756097,-1.3780487804878,-0.170731707317073,-4.58536585365799,-0.028246972489646,-0.00118849237052299,-0.6951219512195,-0.158536585365901,-4.0365853658537,0.865853658536601,-2.36585365853659,1.2073170731707,2.02439024390244,-0.353658536585365,-269,0.00201342622879902,-4.2770684972937e-05,"L"
1979,"LAL","SEA",-3.5975609756097,1.2560975609756,4.5121951219512,-0.987804878048799,0.292682926829269,1.7439024390244,1.4390243902439,-0.475609756097561,6.59756097560999,0.059249407774675,0.00746953923343396,1.3292682926829,-2.0365853658537,3.7560975609756,-1.6707317073171,0.841463414634141,-1.2073170731707,-0.134146341463421,0.231707317073171,439,0.010964687931252,-0.00483318945014899,"W"
1979,"BOS","PHI",0.487804878048701,-2.1707317073171,-0.341463414634102,1.390243902439,0.20731707317073,-2.0609756097561,-4.19512195121951,1.64634146341463,4.317073170732,-0.00267017284379201,0.00698628827757197,-1.8292682926829,-0.707317073170699,-2.7073170731708,-0.5,-2.31707317073172,0.902439024390201,0.37804878048781,-0.012195121951219,61,0.014763139013231,0.005908283136005,"L"
1979,"LAL","PHI",-1.2439024390244,0.219512195122,2.2804878048781,-0.9268292682927,-0.219512195121951,-0.841463414634102,-1.29268292682927,-0.085365853658537,5.963414634147,0.036730374850774,0.00363571868464496,-0.0731707317073003,-1.3414634146342,2.8658536585365,-2.9268292682927,-0.96341463414635,-1.719512195122,-0.0731707317073198,0.036585365853659,351,0.014521107215328,-0.00554541000400899,"W"
1980,"POR","KCK",2.5121951219513,-0.756097560975597,-0.329268292682901,-0.707317073170703,0.609756097560979,0.8536585365853,1.15853658536586,-0.292682926829268,3.792682926829,-0.00302747899909001,0.00352178387394597,1.3536585365854,-1.109756097561,3.0731707317074,-1.0121951219512,1.03658536585366,0.670731707317,0.47560975609756,0.036585365853658,239,0.00645112616882798,0.0037605384938999,"L"
1980,"LAL","HOU",-0.6219512195122,1.7560975609756,3.2195121951219,0.658536585365798,1.25609756097561,1.2926829268293,1.96341463414634,-0.048780487804878,2.914634146341,0.024939788874613,-0.040859031094914,2.4512195121951,-1.1341463414634,1.0853658536585,-1.3170731707317,0.79268292682927,0.524390243902399,-0.12195121951219,-0.085365853658536,-49,-0.027707619690935,-0.00333255368576901,"L"
