"Year","TeamA","TeamB","ORebDiff","DRebDiff","AsstDiff","PFDiff","STLDiff","TODiff","BlkDiff","x3PMDiff","PtDiff","FGPDiff","FTPDiff","WL"
1979,"PHO","KCK",-1.4146341463415,0.353658536585399,1.9512195121951,-3.4390243902439,0.548780487804899,2.3170731707317,-0.14634146341464,0.524390243902439,3.09756097560999,0.015133183587483,0.030244931062449,"W"
1979,"SEA","POR",1.0365853658536,1.7317073170732,1.7682926829269,-1.109756097561,0.51219512195121,-0.6829268292683,-0.536585365853661,0.402439024390244,6.03658536585399,-0.005717657793196,0.025007925940016,"W"
1979,"HOU","SAS",2.9390243902439,-3.6341463414634,-2.1585365853659,-2.1463414634146,0.134146341463421,-0.292682926829297,0.48780487804878,0.634146341463415,-8.585365853659,-0.018197247199023,-0.034510813370049,"W"
1979,"PHI","WA1",-1.7926829268292,-1.0731707317073,0.304878048780502,-0.402439024390201,3.19512195121951,4,2.54878048780488,-0.560975609756097,2.14634146341399,0.033873916221961,0.013886389345948,"W"
1979,"LAL","PHO",0.170731707317099,2.3780487804878,1.5853658536586,-0.841463414634198,-1.6341463414634,0.121951219512198,2.46341463414634,-0.585365853658537,3.951219512195,0.03560982436236,0.00242301030147696,"W"
1979,"MIL","SEA",-1.6463414634146,-1.8780487804878,2.8536585365853,0.878048780487802,0.341463414634148,0,1,-0.109756097560975,1.560975609756,0.018090499312678,-0.00430655309782502,"L"
1979,"BOS","HOU",-2.0365853658537,2.9268292682926,0.597560975609799,0.5731707317073,0.329268292682919,-0.317073170731703,-0.79268292682927,0.70731707317073,2.67073170731699,0.00952123701116797,0.012563079601164,"W"
1979,"ATL","PHI",2.2195121951219,-2.7926829268293,-3.8170731707317,5.280487804878,-0.121951219512189,-2.5975609756097,-1.3780487804878,-0.170731707317073,-4.58536585365799,-0.028246972489646,-0.00118849237052299,"L"
1979,"LAL","SEA",-3.5975609756097,1.2560975609756,4.5121951219512,-0.987804878048799,0.292682926829269,1.7439024390244,1.4390243902439,-0.475609756097561,6.59756097560999,0.059249407774675,0.00746953923343396,"W"
1979,"BOS","PHI",0.487804878048701,-2.1707317073171,-0.341463414634102,1.390243902439,0.20731707317073,-2.0609756097561,-4.19512195121951,1.64634146341463,4.317073170732,-0.00267017284379201,0.00698628827757197,"L"
1979,"LAL","PHI",-1.2439024390244,0.219512195122,2.2804878048781,-0.9268292682927,-0.219512195121951,-0.841463414634102,-1.29268292682927,-0.085365853658537,5.963414634147,0.036730374850774,0.00363571868464496,"W"
1980,"POR","KCK",2.5121951219513,-0.756097560975597,-0.329268292682901,-0.707317073170703,0.609756097560979,0.8536585365853,1.15853658536586,-0.292682926829268,3.792682926829,-0.00302747899909001,0.00352178387394597,"L"
1980,"LAL","HOU",-0.6219512195122,1.7560975609756,3.2195121951219,0.658536585365798,1.25609756097561,1.2926829268293,1.96341463414634,-0.048780487804878,2.914634146341,0.024939788874613,-0.040859031094914,"L"
1980,"NYK","CHI",-1.0975609756097,-3.2926829268293,0.621951219512198,-1.719512195122,1.60975609756098,-2.5731707317073,-2.4390243902439,0.219512195121952,-1.073170731708,-0.01768166199476,-0.027207252345667,"L"
1980,"PHI","IND",-2.8536585365854,4.2804878048781,3.390243902439,0.670731707317099,0.292682926829201,2.5731707317073,1.30487804878049,-0.134146341463414,4.012195121951,0.03221802952684,0.0538714721846421,"W"
1980,"PHO","KCK",2.4024390243903,0.487804878048802,-0.804878048780502,-1.1707317073171,1.91463414634147,3.4756097560975,0.37804878048781,-0.170731707317073,3.048780487805,-0.009884568337931,0.030440735890519,"L"
1980,"SAS","HOU",1.0731707317073,2.8658536585366,-0.621951219512198,2.5975609756097,-0.24390243902439,1,3.08536585365854,-0.073170731707317,4.036585365853,0.00367507934312999,-0.000565169507014018,"L"
1980,"BOS","CHI",-0.8780487804878,-0.621951219512201,3.3780487804878,-0.829268292683,-0.56097560975609,-1.1585365853658,0.975609756097559,0.329268292682927,0.865853658535997,0.00364048964830699,-0.022689021792246,"W"
1980,"MIL","PHI",2.0731707317073,-2.5609756097561,-0.609756097561,1.6707317073171,0.0609756097560989,-1.4756097560976,-0.74390243902439,0.134146341463414,1.46341463414601,-0.015941242611845,0.00164706876696996,"L"
1980,"KCK","HOU",-2.1829268292683,1.2560975609756,2.0975609756097,2.3292682926829,0.170731707317071,-0.0365853658536004,-0.0609756097561007,0.341463414634146,-1.329268292683,0.012393993546743,-0.055265380598205,"L"
1980,"BOS","PHI",0.780487804878,-2.3658536585366,-2.0365853658536,-0.865853658536601,-2.12195121951217,-1.5243902439024,0.0365853658536599,0.560975609756097,-1.80487804878099,-0.00963033625925902,-0.016644395408834,"W"
1980,"HOU","BOS",0.743902439024399,-0.939024390243897,-1.2560975609756,-1.0853658536585,0.26829268292683,-1.5365853658537,-2.48780487804878,-0.536585365853658,-1.585365853658,-0.017320680265172,0.0178866058762089,"L"
1981,"DEN","PHO",0.3170731707317,-0.902439024390201,0.597560975609699,1.2439024390244,-1.08536585365853,-0.707317073170699,-0.74390243902439,-0.170731707317074,20.317073170732,0.028537182898238,0.0381747091092669,"L"
1981,"SEA","HOU",-3.6585365853659,3.170731707317,1.5365853658536,2.2682926829268,0.52439024390244,0.365853658536601,0.37804878048781,-0.146341463414635,1.402439024391,0.012598417631574,0.010638670332702,"W"
1981,"NJN","WA1",1.7926829268293,-3.2073170731707,1.3780487804878,2.719512195122,3.35365853658535,3.1707317073171,1.02439024390244,-0.353658536585366,3.182926829268,0.010103017701477,-0.044324210874702,"L"
