"Cost","Gamma","Accuracy","AUC"
8,0.5,0.746153846153846,0.5
16,0.5,0.746153846153846,0.5
32,0.5,0.746153846153846,0.5
64,0.5,0.746153846153846,0.5
128,0.5,0.746153846153846,0.5
256,0.5,0.746153846153846,0.5
512,0.5,0.746153846153846,0.5
1024,0.5,0.746153846153846,0.5
3.0517578125e-05,1,0.746153846153846,0.5
6.103515625e-05,1,0.746153846153846,0.5
0.0001220703125,1,0.746153846153846,0.5
0.000244140625,1,0.746153846153846,0.5
0.00048828125,1,0.746153846153846,0.5
0.0009765625,1,0.746153846153846,0.5
0.001953125,1,0.746153846153846,0.5
0.00390625,1,0.746153846153846,0.5
0.0078125,1,0.746153846153846,0.5
0.015625,1,0.746153846153846,0.5
0.03125,1,0.746153846153846,0.5
0.0625,1,0.746153846153846,0.5
0.125,1,0.746153846153846,0.5
0.25,1,0.746153846153846,0.5
0.5,1,0.746153846153846,0.5
1,1,0.746153846153846,0.5
2,1,0.746153846153846,0.5
4,1,0.746153846153846,0.5
8,1,0.746153846153846,0.5
16,1,0.746153846153846,0.5
32,1,0.746153846153846,0.5
64,1,0.746153846153846,0.5
128,1,0.746153846153846,0.5
256,1,0.746153846153846,0.5
512,1,0.746153846153846,0.5
1024,1,0.746153846153846,0.5
3.0517578125e-05,2,0.746153846153846,0.5
6.103515625e-05,2,0.746153846153846,0.5
0.0001220703125,2,0.746153846153846,0.5
0.000244140625,2,0.746153846153846,0.5
0.00048828125,2,0.746153846153846,0.5
0.0009765625,2,0.746153846153846,0.5
0.001953125,2,0.746153846153846,0.5
0.00390625,2,0.746153846153846,0.5
0.0078125,2,0.746153846153846,0.5
0.015625,2,0.746153846153846,0.5
0.03125,2,0.746153846153846,0.5
0.0625,2,0.746153846153846,0.5
0.125,2,0.746153846153846,0.5
0.25,2,0.746153846153846,0.5
0.5,2,0.746153846153846,0.5
1,2,0.746153846153846,0.5
2,2,0.746153846153846,0.5
4,2,0.746153846153846,0.5
8,2,0.746153846153846,0.5
16,2,0.746153846153846,0.5
32,2,0.746153846153846,0.5
64,2,0.746153846153846,0.5
128,2,0.746153846153846,0.5
256,2,0.746153846153846,0.5
512,2,0.746153846153846,0.5
1024,2,0.746153846153846,0.5
3.0517578125e-05,4,0.746153846153846,0.5
6.103515625e-05,4,0.746153846153846,0.5
0.0001220703125,4,0.746153846153846,0.5
0.000244140625,4,0.746153846153846,0.5
0.00048828125,4,0.746153846153846,0.5
0.0009765625,4,0.746153846153846,0.5
0.001953125,4,0.746153846153846,0.5
0.00390625,4,0.746153846153846,0.5
0.0078125,4,0.746153846153846,0.5
0.015625,4,0.746153846153846,0.5
0.03125,4,0.746153846153846,0.5
0.0625,4,0.746153846153846,0.5
0.125,4,0.746153846153846,0.5
0.25,4,0.746153846153846,0.5
0.5,4,0.746153846153846,0.5
1,4,0.746153846153846,0.5
2,4,0.746153846153846,0.5
4,4,0.746153846153846,0.5
8,4,0.746153846153846,0.5
16,4,0.746153846153846,0.5
32,4,0.746153846153846,0.5
64,4,0.746153846153846,0.5
128,4,0.746153846153846,0.5
256,4,0.746153846153846,0.5
512,4,0.746153846153846,0.5
1024,4,0.746153846153846,0.5
3.0517578125e-05,8,0.746153846153846,0.5
6.103515625e-05,8,0.746153846153846,0.5
0.0001220703125,8,0.746153846153846,0.5
0.000244140625,8,0.746153846153846,0.5
0.00048828125,8,0.746153846153846,0.5
0.0009765625,8,0.746153846153846,0.5
0.001953125,8,0.746153846153846,0.5
0.00390625,8,0.746153846153846,0.5
0.0078125,8,0.746153846153846,0.5
0.015625,8,0.746153846153846,0.5
