"Year","TeamA","TeamB","O_ORebDiff","O_DRebDiff","O_AsstDiff","O_PFDiff","O_STLDiff","O_TODiff","O_BlkDiff","O_x3PMDiff","O_FGPDiff","O_FTPDiff","D_ORebDiff","D_DRebDiff","D_AsstDiff","D_PFDiff","D_BlkDiff","D_x3PMDiff","D_FTPDiff","WL"
1979,"PHO","KCK",-0.852744060575925,0.220117715507773,0.725227540132979,-1.62463602850771,0.502332394485896,1.21933137820011,-0.141657150107175,0.23912139744272,0.635919883783659,1.07268151971563,0.663973407953854,-1.36896303775712,1.17798265948398,-0.134637764360057,-0.576137302011114,0.362317869265658,-0.71717881496565,"W"
1979,"SEA","POR",0.62485556162886,1.0778177793828,0.657237458245545,-0.524261980830514,0.468843568186809,-0.359381879890565,-0.519409550392953,0.183511770130459,-0.240264862865427,0.886943334302316,0.567871993644756,0.354401598607167,0.0379994406284952,0.750124687148937,-0.0320076278895077,0.0245639233400448,0.717715812526146,"W"
1979,"HOU","SAS",1.77164929826545,-2.26189928349345,-0.802282966272135,-1.01395723765019,0.122792363096553,-0.154020805667398,0.472190500357228,0.289170062023754,-0.764676596770865,-1.22397738834221,0.366932672816582,-1.07710289772765,-1.49147804466924,-0.916819062070919,-0.46411060439785,-0.184229425050336,1.83390903822138,"W"
1979,"PHI","WA1",-1.08063255952287,-0.667943412575238,0.113316803145785,-0.190116982059393,2.92469083011777,2.10495101078757,2.46719536436652,-0.255804285636397,1.42343458285829,0.492501477229958,1.05711555740015,-2.22369630498611,-0.147247832435497,1.27585310036443,-2.09649962676268,0.116678635865212,-0.744616521393676,"W"
1979,"LAL","PHO",0.102917386621245,1.48010188013833,0.589247376358076,-0.397517326124252,-1.49583424135793,0.0641753356947443,2.384562026804,-0.26692621109885,1.49638013965539,0.0859356685954523,0.838703252152241,-1.42455544538174,1.41547916341221,-1.22456252346533,-0.112026697613277,-0.135101578370245,0.450549184620553,"W"
1979,"MIL","SEA",-0.992417656704695,-1.16890097200668,1.06064527744447,0.414800688129627,0.312562378791214,0,0.967990525732318,-0.0500486645810341,0.760190884753546,-0.152738318767288,1.37162927695723,-0.806089910557494,0.655490350841901,-0.544962379552662,-0.56013348806636,0.10439667419519,-0.64908225638064,"L"
1979,"BOS","HOU",-1.22765739755327,1.8216638524779,0.222100934165743,0.270772671417944,0.301399436691518,-0.166855872806329,-0.767309563080497,0.322535838411109,0.400097170474204,0.445568326509314,-1.06585204961013,-0.159828171920851,-1.69097510796898,0.0641132211238433,-0.144034325502772,0.0982556933601786,-1.07213940143103,"W"
1979,"ATL","PHI",1.33792602607596,-1.73817092590606,-1.41872637538515,2.49456524944621,-0.111629420996856,-1.36693465029799,-1.33393816350917,-0.0778534782371645,-1.1869816657556,-0.0421516517776384,-0.497980055965373,-0.0903376623900889,-1.57222685600486,0.455203869979272,2.65663311482904,-0.178088444215323,-0.00265663386840287,"L"
1979,"LAL","SEA",-2.16861636094731,0.781797403355115,1.67708868655753,-0.466650774145841,0.267910610392468,0.917707300434829,1.39296197605382,-0.216877546517815,2.48975215879137,0.264918332263729,0.952277650881148,-1.16049150916466,1.46297846419786,-0.878351129396622,-0.176041953392294,0.116678635865212,-0.300205965693512,"W"
1979,"BOS","PHI",0.294049676060609,-1.3510673572545,-0.126914819523256,0.656767756205233,0.189770015694662,-1.08456317324116,-4.06083830307216,0.750729968715515,-0.112204811016167,0.247779117475382,-1.31047383148783,-0.403044955278719,-1.05448447744134,-0.262864206607744,0.496118232287358,-0.0061409808350108,0.366983720114757,"L"
1979,"LAL","PHI",-0.74982667395468,0.136624788935877,0.847609687530447,-0.437845170803505,-0.20093295779435,-0.442809816293703,-1.25130482594666,-0.0389267391185824,1.54346741195647,0.128946177323099,-0.0524189532595019,-0.764395604839015,1.11623356846262,-1.53871730697217,-0.0960228836685232,0.0184229425050337,-0.344444425899478,"W"
1980,"POR","KCK",1.51435583171243,-0.470596495223463,-0.122382147397432,-0.334144998771076,0.55814710498431,0.449227349863166,1.12145243834842,-0.133463105549425,-0.127219370737773,0.12490530959433,0.96975063530103,-0.632363636730446,1.19698237979828,-0.532139735327863,0.624148743845376,0.0184229425050333,0.23357993758222,"L"
1980,"LAL","HOU",-0.37491333697734,1.09299831148676,1.19662544121941,0.311100516097195,1.14978303626767,0.68025855836429,1.90056676393784,-0.0222438509249043,1.0480086725341,-1.44912638347576,1.7560349341937,-0.646261738636587,0.422743776992225,-0.692422788137468,-0.160038139447526,-0.042986865845078,-0.206996333948987,"L"
1980,"NYK","CHI",-0.661611771136443,-2.04937183403771,0.231166278417391,-0.812318014253879,1.47350835715857,-1.35409958315907,-2.36095250178614,0.100097329162069,-0.74301090552486,-0.964945720430863,0.0174729844198819,2.50860739406246,0.655490350841903,-0.90399641784617,0.176041953392292,-0.0552688275151008,-0.257248494203179,"L"
1980,"PHI","IND",-1.72019060495486,2.66418338424903,1.26008285098106,0.316861636765701,0.267910610392406,1.35409958315907,1.26310958845559,-0.061170590043486,1.35385165150529,1.91063198434881,0.349459688396773,-0.833886114369834,-0.379994406285135,-0.128226442247685,-0.960228836685195,0.0429868658450785,-1.45226127483921,"W"
1980,"PHO","KCK",1.44819465459877,0.303610642079672,-0.299156360304862,-0.553067584172852,1.75258190965073,1.82899706730014,0.365947637776857,-0.0778534782371645,-0.415364917260889,1.07962602952813,0.192202828618197,-1.57048551539645,0.536742098877785,0.647543533350799,0.288068651005558,0.233357271730424,-1.00598209699272,"L"
