"Cost","Gamma","Accuracy","AUC"
0.00048828125,0.000244140625,0.746153846153846,0.5
0.0009765625,0.000244140625,0.746153846153846,0.5
0.001953125,0.000244140625,0.746153846153846,0.5
0.00390625,0.000244140625,0.746153846153846,0.5
0.0078125,0.000244140625,0.746153846153846,0.5
0.015625,0.000244140625,0.746153846153846,0.5
0.03125,0.000244140625,0.746153846153846,0.5
0.0625,0.000244140625,0.746153846153846,0.5
0.125,0.000244140625,0.746153846153846,0.5
0.25,0.000244140625,0.746153846153846,0.5
0.5,0.000244140625,0.746153846153846,0.5
1,0.000244140625,0.746153846153846,0.5
2,0.000244140625,0.746153846153846,0.5
4,0.000244140625,0.746153846153846,0.5
8,0.000244140625,0.746153846153846,0.5
16,0.000244140625,0.746153846153846,0.5
3.0517578125e-05,0.00048828125,0.746153846153846,0.5
6.103515625e-05,0.00048828125,0.746153846153846,0.5
0.0001220703125,0.00048828125,0.746153846153846,0.5
0.000244140625,0.00048828125,0.746153846153846,0.5
0.00048828125,0.00048828125,0.746153846153846,0.5
0.0009765625,0.00048828125,0.746153846153846,0.5
0.001953125,0.00048828125,0.746153846153846,0.5
0.00390625,0.00048828125,0.746153846153846,0.5
0.0078125,0.00048828125,0.746153846153846,0.5
0.015625,0.00048828125,0.746153846153846,0.5
0.03125,0.00048828125,0.746153846153846,0.5
0.0625,0.00048828125,0.746153846153846,0.5
0.125,0.00048828125,0.746153846153846,0.5
0.25,0.00048828125,0.746153846153846,0.5
0.5,0.00048828125,0.746153846153846,0.5
1,0.00048828125,0.746153846153846,0.5
2,0.00048828125,0.746153846153846,0.5
4,0.00048828125,0.746153846153846,0.5
8,0.00048828125,0.746153846153846,0.5
3.0517578125e-05,0.0009765625,0.746153846153846,0.5
6.103515625e-05,0.0009765625,0.746153846153846,0.5
0.0001220703125,0.0009765625,0.746153846153846,0.5
0.000244140625,0.0009765625,0.746153846153846,0.5
0.00048828125,0.0009765625,0.746153846153846,0.5
0.0009765625,0.0009765625,0.746153846153846,0.5
0.001953125,0.0009765625,0.746153846153846,0.5
0.00390625,0.0009765625,0.746153846153846,0.5
0.0078125,0.0009765625,0.746153846153846,0.5
0.015625,0.0009765625,0.746153846153846,0.5
0.03125,0.0009765625,0.746153846153846,0.5
