"Year","TeamA","TeamB","O_ORebDiff","O_DRebDiff","O_AsstDiff","O_PFDiff","O_STLDiff","O_TODiff","O_BlkDiff","O_x3PMDiff","O_FGPDiff","O_FTPDiff","WL"
1979,"PHO","KCK",-0.852744060575925,0.220117715507773,0.725227540132979,-1.62463602850771,0.502332394485896,1.21933137820011,-0.141657150107175,0.23912139744272,0.635919883783659,1.07268151971563,"W"
1979,"SEA","POR",0.62485556162886,1.0778177793828,0.657237458245545,-0.524261980830514,0.468843568186809,-0.359381879890565,-0.519409550392953,0.183511770130459,-0.240264862865427,0.886943334302316,"W"
1979,"HOU","SAS",1.77164929826545,-2.26189928349345,-0.802282966272135,-1.01395723765019,0.122792363096553,-0.154020805667398,0.472190500357228,0.289170062023754,-0.764676596770865,-1.22397738834221,"W"
1979,"PHI","WA1",-1.08063255952287,-0.667943412575238,0.113316803145785,-0.190116982059393,2.92469083011777,2.10495101078757,2.46719536436652,-0.255804285636397,1.42343458285829,0.492501477229958,"W"
1979,"LAL","PHO",0.102917386621245,1.48010188013833,0.589247376358076,-0.397517326124252,-1.49583424135793,0.0641753356947443,2.384562026804,-0.26692621109885,1.49638013965539,0.0859356685954523,"W"
1979,"MIL","SEA",-0.992417656704695,-1.16890097200668,1.06064527744447,0.414800688129627,0.312562378791214,0,0.967990525732318,-0.0500486645810341,0.760190884753546,-0.152738318767288,"L"
1979,"BOS","HOU",-1.22765739755327,1.8216638524779,0.222100934165743,0.270772671417944,0.301399436691518,-0.166855872806329,-0.767309563080497,0.322535838411109,0.400097170474204,0.445568326509314,"W"
1979,"ATL","PHI",1.33792602607596,-1.73817092590606,-1.41872637538515,2.49456524944621,-0.111629420996856,-1.36693465029799,-1.33393816350917,-0.0778534782371645,-1.1869816657556,-0.0421516517776384,"L"
1979,"LAL","SEA",-2.16861636094731,0.781797403355115,1.67708868655753,-0.466650774145841,0.267910610392468,0.917707300434829,1.39296197605382,-0.216877546517815,2.48975215879137,0.264918332263729,"W"
1979,"BOS","PHI",0.294049676060609,-1.3510673572545,-0.126914819523256,0.656767756205233,0.189770015694662,-1.08456317324116,-4.06083830307216,0.750729968715515,-0.112204811016167,0.247779117475382,"L"
1979,"LAL","PHI",-0.74982667395468,0.136624788935877,0.847609687530447,-0.437845170803505,-0.20093295779435,-0.442809816293703,-1.25130482594666,-0.0389267391185824,1.54346741195647,0.128946177323099,"W"
1980,"POR","KCK",1.51435583171243,-0.470596495223463,-0.122382147397432,-0.334144998771076,0.55814710498431,0.449227349863166,1.12145243834842,-0.133463105549425,-0.127219370737773,0.12490530959433,"L"
1980,"LAL","HOU",-0.37491333697734,1.09299831148676,1.19662544121941,0.311100516097195,1.14978303626767,0.68025855836429,1.90056676393784,-0.0222438509249043,1.0480086725341,-1.44912638347576,"L"
1980,"NYK","CHI",-0.661611771136443,-2.04937183403771,0.231166278417391,-0.812318014253879,1.47350835715857,-1.35409958315907,-2.36095250178614,0.100097329162069,-0.74301090552486,-0.964945720430863,"L"
1980,"PHI","IND",-1.72019060495486,2.66418338424903,1.26008285098106,0.316861636765701,0.267910610392406,1.35409958315907,1.26310958845559,-0.061170590043486,1.35385165150529,1.91063198434881,"W"
1980,"PHO","KCK",1.44819465459877,0.303610642079672,-0.299156360304862,-0.553067584172852,1.75258190965073,1.82899706730014,0.365947637776857,-0.0778534782371645,-0.415364917260889,1.07962602952813,"L"
1980,"SAS","HOU",0.646909287333434,1.783712522218,-0.231166278417391,1.22711870238346,-0.223258841993723,0.526237752696892,2.98660491475947,-0.0333657763873563,0.154432543243048,-0.0200445781949036,"L"
1980,"BOS","CHI",-0.529289416909179,-0.387103568651568,1.25555017885523,-0.391756205455795,-0.513495336585555,-0.609665689100029,0.944381000714455,0.150145993743103,0.15297903053141,-0.804699945478952,"W"
1980,"MIL","PHI",1.24971112325778,-1.59395587091821,-0.226633606291568,0.78927353158,0.0558147104984319,-0.776521561906411,-0.720090513044772,0.061170590043486,-0.669875779309016,0.0584157465719289,"L"
1980,"KCK","HOU",-1.31587230037144,0.781797403355112,0.779619605642941,1.1003740476772,0.156281189395604,-0.0192526007083923,-0.0590238125446566,0.155706956474329,0.520814862933354,-1.96006902199052,"L"
1980,"BOS","PHI",0.470479481697021,-1.47251161408635,-0.756956245013784,-0.409039567461169,-1.94235192534537,-0.802191696184266,0.0354142875267935,0.255804285636398,-0.404681690364938,-0.590318269366561,"W"
1980,"HOU","BOS",0.448425755992507,-0.584450486003339,-0.466865228960607,-0.51273973949355,0.245584726193096,-0.808609229753783,-2.40817155182186,-0.244682360173945,-0.727841892461575,0.634375113443974,"L"
1981,"DEN","PHO",0.191132289439422,-0.561679687847342,0.222100934165706,0.587634308183644,-0.99350184687206,-0.372216947029492,-0.720090513044772,-0.0778534782371649,1.19917675796721,1.35392290686592,"L"
1981,"SEA","HOU",-2.20537257045495,1.97346917351773,0.571116687854706,1.07156844433486,0.480006510286505,0.192526007084237,0.365947637776857,-0.0667315527747128,0.529405080551268,0.377316286047184,"W"
1981,"NJN","WA1",1.08063255952293,-1.99623997167373,0.51219195021892,1.28472990906818,3.06980907741367,1.66855872806333,0.99160005075018,-0.161267919205555,0.424544498878712,-1.57202414457814,"L"
1981,"PHI","ATL",-0.764529157757689,0.159395587091815,2.03516978449821,-0.48969525681972,2.76840964072216,0.840696897601157,1.61725246372351,0.0722925155059388,1.88115623414217,-0.739247350370248,"W"
