"","team","year","leag","o_oreb","o_dreb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","won","lost","o_fgp","o_3pp","o_ftp"
"1013","ATL",1999,"N",13.9756097560976,31.3414634146341,18.8780487804878,20.9512195121951,6.09756097560976,15.4390243902439,5.68292682926829,94.3292682926829,28,54,0.440722785368004,0.316953316953317,0.743331655762456
"1014","BOS",1999,"N",13.5121951219512,29.5121951219512,21.2317073170732,27.109756097561,9.68292682926829,15.3536585365854,3.5,99.3414634146341,35,47,0.443959877889228,0.33121525019857,0.745287356321839
"1015","CHA",1999,"N",10.780487804878,32.1341463414634,24.6707317073171,20.3658536585366,8.92682926829268,14.7073170731707,5.85365853658537,98.4390243902439,49,33,0.449257615184448,0.338661338661339,0.75793327908869
"1016","CHI",1999,"N",12.5853658536585,28.3292682926829,19.9512195121951,23.2682926829268,7.8780487804878,18.9878048780488,4.67073170731707,84.780487804878,17,65,0.41504854368932,0.329776915615907,0.709430349449497
"1017","CLE",1999,"N",12.3170731707317,30.4756097560976,23.6585365853659,27.0609756097561,8.69512195121951,17.4024390243902,4.42682926829268,96.9512195121951,32,50,0.442084942084942,0.372826086956522,0.749659863945578
"1018","DAL",1999,"N",11.3536585365854,29.8048780487805,22.0731707317073,21.5853658536585,7.21951219512195,13.7073170731707,5.07317073170732,101.414634146341,40,42,0.45338441890166,0.391402714932127,0.803540833809252
"1019","DEN",1999,"N",13.0853658536585,31.5853658536585,23.3048780487805,23.9268292682927,6.75609756097561,15.609756097561,7.53658536585366,98.9634146341463,35,47,0.442338301258863,0.336435218324982,0.723534971644612
"1020","DET",1999,"N",11.1829268292683,29.9756097560976,20.8170731707317,24.5243902439024,8.10975609756098,15.719512195122,3.5609756097561,103.451219512195,42,40,0.458710066305003,0.358953393295176,0.780526735833998
"1021","GSW",1999,"N",15.8536585365854,29.7317073170732,22.5731707317073,24.9146341463415,8.90243902439024,15.8658536585366,4.42682926829268,95.5365853658537,19,63,0.419549082761518,0.323336457357076,0.697251979506288
"1022","HOU",1999,"N",12.2926829268293,31.5365853658537,21.6341463414634,20.280487804878,7.47560975609756,17.3780487804878,5.34146341463415,99.4634146341463,34,48,0.45039771874531,0.357758620689655,0.733333333333333
"1023","IND",1999,"N",10.2682926829268,31.8536585365854,22.6463414634146,21.780487804878,6.81707317073171,14.1341463414634,5.14634146341463,101.292682926829,56,26,0.458885542168675,0.392064559515804,0.811254980079681
"1024","LAC",1999,"N",11.6463414634146,28.9878048780488,18.0365853658537,22.2073170731707,7.04878048780488,16.1707317073171,6.02439024390244,92.0243902439024,15,67,0.425780671895812,0.338595106550908,0.74644030668127
"1025","LAL",1999,"N",13.6219512195122,33.390243902439,23.4268292682927,22.4512195121951,7.47560975609756,13.9390243902439,6.48780487804878,100.817073170732,67,15,0.458894090111176,0.328557784145177,0.696368243243243
"1026","MIA",1999,"N",11.2317073170732,31.9390243902439,23.5487804878049,23.7439024390244,7.09756097560976,15.0121951219512,6.39024390243902,94.3780487804878,52,30,0.460229031259672,0.371048252911814,0.736179529282978
"1027","MIL",1999,"N",12.390243902439,28.9390243902439,22.5853658536585,24.6341463414634,8.18292682926829,15,4.67073170731707,101.19512195122,42,40,0.464918705141351,0.368568755846586,0.786074672048436
"1028","MIN",1999,"N",12.390243902439,30.1341463414634,26.890243902439,23.3292682926829,7.58536585365854,13.890243902439,5.41463414634146,98.5243902439024,50,32,0.466859623733719,0.346368715083799,0.779536461277558
"1029","NJN",1999,"N",12.6829268292683,28.2317073170732,20.5853658536585,23.3292682926829,8.78048780487805,13.6463414634146,4.79268292682927,98,31,51,0.432868352223191,0.347161572052402,0.784419402253797
"1030","NYK",1999,"N",9.78048780487805,30.7439024390244,19.3658536585366,24.1829268292683,6.26829268292683,14.6341463414634,4.39024390243902,92.1341463414634,50,32,0.454645323289391,0.375,0.781163434903047
"1031","ORL",1999,"N",13.9634146341463,30.9756097560976,20.8414634146341,23.9878048780488,9.0609756097561,17.5975609756098,5.69512195121951,100.073170731707,41,41,0.451810664385515,0.337931034482759,0.734827264239029
"1032","PHI",1999,"N",13.9878048780488,30.0975609756098,22.1585365853659,23.6463414634146,9.64634146341463,15.6585365853659,4.70731707317073,94.7682926829268,49,33,0.441706021251476,0.32348367029549,0.708445642407907
"1033","PHO",1999,"N",12.4634146341463,31.1951219512195,25.5853658536585,24.0609756097561,9.07317073170732,16.6707317073171,5.28048780487805,98.9146341463415,53,29,0.45680106335844,0.367871485943775,0.758531540847983
"1034","POR",1999,"N",11.780487804878,31.219512195122,23.4756097560976,22.7439024390244,7.71951219512195,15.1585365853659,4.90243902439024,97.4512195121951,59,23,0.469828926905132,0.360815602836879,0.759980285855101
"1035","SAC",1999,"N",12.8780487804878,32.1341463414634,23.8170731707317,21.0853658536585,9.59756097560976,16.1463414634146,4.64634146341463,104.963414634146,44,38,0.449506037321625,0.322463768115942,0.754090233019336
