"Year","TeamA","TeamB","O_ORebDiff","O_DRebDiff","O_AsstDiff","O_PFDiff","O_STLDiff","O_TODiff","O_BlkDiff","O_x3PPDiff","O_FGPDiff","O_FTPDiff","WL"
1999,"IND","MIL",-1.76966683716504,2.05120997323805,0.0336670199897157,-1.72955016197773,-1.55411017768754,-0.695624092550329,0.522634322046106,1.09477569225803,-0.422495728336205,0.895812101139603,"W"
1999,"CHA","PHI",-2.67484125387595,1.43327224071439,1.38708122357624,-1.98824356227349,-0.818683040031833,-0.764206749562383,1.25968272493165,0.707196171112636,0.528829768607284,1.76056717576435,"L"
1999,"NYK","TOR",-3.01046772299338,0.617937732523585,-2.41729203526153,-0.0443474400507002,-2.10914952686167,0.617243913108003,-2.46576192965343,0.562038935921372,1.51484153112801,0.558169746217856,"W"
1999,"MIA","DET",0.0406819962566853,1.38177742967077,1.50828249553925,-0.473039360540881,-1.15170664953631,-0.568256300956652,3.10900417217171,0.563554177417473,0.106371435306249,-1.57769175146095,"W"
1999,"LAL","SAC",0.620400442914188,0.88399425624902,-0.215468927934162,0.827818880946601,-2.41442116890745,-1.77335155988177,2.02353288792211,0.283947751307514,0.657434950612782,-2.05351169172031,"W"
1999,"SAS","PHO",-0.96619741109581,0.926906598785378,-1.87861971542607,-1.89954868217209,-1.80387788481591,-1.30307048322806,1.55450208608585,0.272785211284944,0.341864552583677,-0.440100409796186,"L"
1999,"POR","MIN",-0.508524953208365,0.76383969714726,-1.885353119424,-0.354779520405662,0.152635821022879,1.01894233274982,-0.562836962203501,0.673145799288962,0.207937016079099,-0.695728526184343,"W"
1999,"UTA","SEA",-1.07807290080163,-0.489200704914498,1.09754485166472,1.75172388200305,-0.388527544421893,0.656434002829166,1.34008800524643,2.1585366177822,1.17729439316564,2.74467978148494,"W"
1999,"IND","PHI",-3.10200221457094,1.23587546504717,0.269336159917675,-1.13085972129312,-3.21922822520992,-1.22469030378582,0.482431681888712,3.1954936093633,1.20306284369436,3.65753463707604,"W"
1999,"NYK","MIA",-1.21028938863588,-0.841081913712656,-2.30955757129445,0.266084640304262,-0.943566893596015,-0.303723195338867,-2.19774432860414,0.184129758445565,-0.391020891761886,1.60034289338227,"W"
1999,"LAL","PHO",0.966197411095893,1.54484433130897,-1.19181250763588,-0.975643681115644,-1.81775386854526,-2.19464502438412,1.32668712519396,-1.83180306184515,0.146572347925839,-2.21151521148867,"W"
1999,"POR","UTA",0.305114971924935,1.15005077997452,-0.781074863761351,-1.09390352125086,0.0555039349174145,0.225343015896622,-0.576237842255965,-1.13831804436547,0.389753092230925,-0.447468455061457,"W"
1999,"IND","NYK",0.406819962566651,0.781004634161776,1.81128567544664,-1.45607428166503,0.624419267820892,-0.401698419641732,0.830854563252786,0.795114958398634,0.296937837055215,1.07053377892633,"W"
1999,"LAL","POR",1.53574535868925,1.52767939429438,-0.0269336159917847,-0.177389760202861,-0.277519674587062,-0.979752243028654,1.74211440682036,-1.50303757582077,-0.765754523195125,-2.26305561787414,"W"
1999,"IND","LAL",-2.79688724264592,-1.08139103191624,-0.430937855868379,-0.406518200464861,-0.749303121385064,0.156760358884569,-1.47409680577108,2.95906771048397,-0.000598602956540351,4.08719897273764,"L"
2000,"PHI","IND",1.5662568558817,0.0429123425363613,-0.478071683853961,-1.86259248212989,1.76224993362784,0.568256300956571,-1.05866952414468,-0.717434158734844,0.533008518933246,-0.739049705393944,"W"
2000,"NYK","TOR",-3.50882217713757,-0.0429123425363613,-3.25896753500438,0.872166320997364,-0.749303121385076,0.871979496295438,-2.31835224907633,-0.833298970626649,0.512677656816801,1.72982469010301,"L"
2000,"MIA","CHA",-2.23750979411676,-1.48476705175808,-1.81801907944462,-0.20695472023662,-0.444031479339307,-0.470281076653706,-2.02353288792211,-0.00711650875329431,-0.0149858093551386,0.506285518122014,"L"
2000,"MIL","ORL",-0.956026912031743,0.429123425363621,0.276069563915663,-1.0569473212086,-0.0277519674587073,-1.31286800565833,-1.27308360498411,0.719033775010253,1.3585343265093,2.59062818554022,"W"
2000,"SAS","MIN",-1.01704990641673,2.07695737875982,-2.05368821937258,-2.57215152294121,-1.58186214514626,-0.0587851345817834,1.60810560629571,2.30099954597427,0.167947463280941,-2.5011522441472,"W"
2000,"UTA","DAL",1.1390958951867,-1.61350407936717,2.49809288323683,1.48563924169878,0.596667300362186,1.52841349912468,-0.388625521521469,0.0218028197386639,0.792184943518747,-1.51246602068122,"L"
2000,"SAC","PHO",0.172898484090895,-6.96038195939763,-0.356870411891015,-1.98085232226511,0.249767707128355,-0.293925672908596,0.0402026401573953,1.81893699174132,0.960974294349574,0.565272686084788,"W"
2000,"LAL","POR",1.27131238302091,0.875411787741758,-0.505005299845745,0.938687481073384,-1.49860624277014,-0.725016659841139,0.951462483724959,-0.223071469431991,-0.21943092890247,-2.80122946190211,"W"
2000,"PHI","TOR",-0.437331459759143,0.609355264016328,-2.10082204735822,-0.532169280608521,1.26271451937113,1.84193421689374,-1.48749768582354,-1.97002738119217,0.7128220367491,-0.0603698369364486,"W"
2000,"CHA","MIL",0.589888945721737,0.926906598785378,0.377070623884812,-1.29346700147905,-0.0971318861054643,0.411495942072002,0.92466072362004,-1.58164508690808,-1.89629362489605,-1.47446634032604,"L"
2000,"SAS","DAL",0.722105433555862,1.21012805952533,0.255869351921811,-2.63128144300879,-0.693799186467661,0.0489876121514319,1.125673924407,1.20105276724327,0.0843798408086949,-2.82155668966135,"W"
